job_title,role,industry
 Opportunity for IP DRG / Hospitality Coding in a Top MNC,Back Office/Web/Transaction Processing,"BPO, Call Centre, ITeS"
Incident Manager 1 1 1,Project Management,Courier / Transportation / Freight / Warehousing
 SR in All Clinical Department,Medical Professional,"Recruitment, Staffing"
 Associate Professor - Machine Learning,,"Education, Teaching, Training"
 Sales & Service Engineer,Voice,"Recruitment, Staffing"
 Hiring 2019 B.E Fresher's for IT Job's / Software Engineer /automoblie,Programming & Design,"IT-Software, Software Services"
 Advisor - Retentions (Pune),Voice,"BPO, Call Centre, ITeS"
 Communication Trainer,Training,"BPO, Call Centre, ITeS"
 Barista,Food & Beverage,"Travel , Hotels , Restaurants , Airlines , Railways"
 Immediate Opening For Data Analyst/senior Data Analyst,Programming & Design,"IT-Software, Software Services"
 Server Engineer/Support Engineer,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
 Windows Senior admin,Admin/Maintenance/Security/Datawarehousing,"Recruitment, Staffing"
" PHP/ Full Stack Developer ( Exp. - Laravel Framework, Vue JS & AWS)",Programming & Design,"Medical, Healthcare, Hospitals"
 IT Security Analyst,Voice,"BPO, Call Centre, ITeS"
 Sales Representatives ,Voice,"IT-Software, Software Services"
 Content Writer,Content Development,"Media, Entertainment, Internet"
 Regional Manager,Corporate Sales,"Recruitment, Staffing"
 Branch Sales Manager,Retail Sales,"Media, Entertainment, Internet"
 ETL Developer - Business Intelligence Projects,Programming & Design,"IT-Software, Software Services"
 Accounts Executive/ Accounts Officer,Accounts,"Accounting, Finance"
 Senior Consultant - IT IDM ETL Developer,Other,"IT-Software, Software Services"
 Consulting - Cloud Manager,Project Management,"Strategy, Management Consulting Firms"
 One of Our Client Has Got Requirement for Software Engineer,Programming & Design,"Recruitment, Staffing"
 Liasioner (Restaurants & Hotels) Freshers,Food & Beverage,"Real Estate, Property"
 Solution Cloud Architect,System Design/Implementation/ERP/CRM,"IT-Software, Software Services"
 Urgent Opening For Speech Analyst with a Leading Outsourcing firm,Quality,"BPO, Call Centre, ITeS"
 Project Manager - .net/ ASP/ SQL Server,Project Management,"IT-Software, Software Services"
 Excellent Opportunity For Customer Care Executive (fresher) - Noida,,Insurance
 School Counsellor,Teachers,"Education, Teaching, Training"
 Counter Sales Officer - Watch,Retail Sales,"Retail, Wholesale"
Progress 4GL Developer – Hyderabad,Programming & Design,IT-Software / Software Services
Microsoft SQL Server,Programming & Design,IT-Software / Software Services
 Automation Testing Developer,Programming & Design,"IT-Software, Software Services"
 UI Developer,Programming & Design,"KPO, Research, Analytics"
 Sr. Software Engineer,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
 Urgent Openings for Linux Administration for Punbe location,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
 Captive Bpo in Kolkata is Hiring for Inbound UK/US Tech Process,Voice,"IT-Software, Software Services"
" US IT Recruiter, Bench Sales Recruiter",HR/ Recruitment / IR,"Recruitment, Staffing"
 Sports Sponsorship Sales,Retail Sales,"IT-Software, Software Services"
Modem Test Engineer,Programming & Design,IT-Software / Software Services
" ETL Testing (java, Python & Javascript)",Programming & Design,"IT-Software, Software Services"
 VBA Macros (new),Programming & Design,"Construction, Engineering, Cement, Metals"
 International Sales and Marketing Team Leader,Institutional Sales,"Industrial Products, Heavy Machinery"
 Internships,Programming & Design,"IT-Software, Software Services"
 Senior Technician/ Engineer - ARFF/ ACFT,Production/Manufacturing/Maintenance,"Industrial Products, Heavy Machinery"
Lead Software Engineer,Programming & Design,Internet / Ecommerce
" Core JAVA with C, C",Programming & Design,"Recruitment, Staffing"
 Senior Facility Manager; Admin & Executive Assistant,Administration/Facility Management,"NGO, Social Services, Regulators, Industry Associations"
 Web Designer/Front-end Developer,Programming & Design,"Media, Entertainment, Internet"
 Urgent Opening in Pharma MNC for Field Sales(only Female Required),Retail Sales,"Pharma, Biotech, Clinical Research"
 SAP PM Functional Consultant,System Design/Implementation/ERP/CRM,"Automobile, Auto Anciliary, Auto Components"
 QA Engineer,Programming & Design,"IT-Software, Software Services"
 Field Engineers,Retail Sales,"Consumer Electronics, Appliances, Durables"
"Store Manager – Phoenix Mall, Pune",Retail Sales,Retail / Wholesale
 Erp/product Specialist,,Other
 Senior Developer,Programming & Design,"Internet, Ecommerce"
" C, C++, Java Faculty / Trainer - Camp - Pune",Teachers,"Education, Teaching, Training"
 Manager - Legal,,"Strategy, Management Consulting Firms"
 Multi Solution Architect - Digital Marketing / CMS,Programming & Design,"Recruitment, Staffing"
 Advisor - Sales - Retail Product,Retail Sales,"Retail, Wholesale"
 Urgent Opening Logistics Business Analyst For Plywood Industry,Analytics & BI,"Courier, Transportation, Freight , Warehousing"
 Urgent Hiring || Pay Per Click Executive || Noida,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
 Hiring_sales Executive_reputed Healthcare Industry_mumbai_upto 4 LPA,Retail Sales,"Medical, Healthcare, Hospitals"
 International bpo Wants Technical Support Executive(inbound),Voice,"IT-Software, Software Services"
 Head Purchase,Senior Management,"FMCG, Foods, Beverage"
 Need International BPO Executive-UK/US Shift,Voice,"IT-Software, Software Services"
 Director Talent Management,HR/ Recruitment / IR,"Banking, Financial Services, Broking"
 Associate Manager,Operations/Processes/Finance/Legal,"Education, Teaching, Training"
 Account Assistant,Accounts,"Real Estate, Property"
 Content Manager,Content Development,"IT-Software, Software Services"
 Front Office Executive - Central PART OF Banglore,,"Industrial Products, Heavy Machinery"
 Codeigniter Developer with 6months To 2 Years Experience,Programming & Design,"IT-Software, Software Services"
 Manager - Credit Operations,Retail/Personal Banking,"Banking, Financial Services, Broking"
 Urgent Opening For B.tech Fresher as SQL Analyst,Programming & Design,"IT-Software, Software Services"
" Senior Fashion Designer, garment export house, 1LPA Noida",Designer,"Textiles, Garments, Accessories"
 Accounting Diploma - Accountant,Accounts,"Recruitment, Staffing"
IT Infrastructure Head,Senior Management,Telecom / ISP
 ML / AI Developer,Programming & Design,"IT-Software, Software Services"
 Tech Lead - Java Development - J2ee/ Spring/ Hibernate,Programming & Design,"IT-Software, Software Services"
 PHP Developer - Codeigniter/ Zend,Programming & Design,"IT-Software, Software Services"
 Data Entry/non Voice/back Office/marketing- part time or full time,Other,"Internet, Ecommerce"
 Kernel System Developer,Programming & Design,"BPO, Call Centre, ITeS"
Salesforce Professional,Programming & Design,IT-Software / Software Services
 Client Relationship Executive / Business Development,Corporate Sales,"Ceramics, Sanitary ware"
 Marketing Head,Marketing,"Real Estate, Property"
 Exciting Opportunity - Process Executive/sr Process Executive,Back Office/Web/Transaction Processing,"BPO, Call Centre, ITeS"
 Leading Eduction Industry Requirement Sale Executive,Retail Sales,"Strategy, Management Consulting Firms"
,,
 Optometric Assistant,,"Medical, Healthcare, Hospitals"
 Designer: UX Design,Programming & Design,"IT-Software, Software Services"
 Marketing Manager in FMCG Industry_ahmedabad,Marketing,"FMCG, Foods, Beverage"
,,
 Relationship Manager - Farmer Funding,Life Insurance/Financial Services,"Banking, Financial Services, Broking"
 Architect - Architectural Firm -,Architectural Services,"Recruitment, Staffing"
 Production Manager,Production/Manufacturing/Maintenance,"Chemicals, PetroChemical, Plastic, Rubber"
 CAD Designer,Architectural Services,"Architecture, Interior Design"
 Solution Architect - Google Cloud Platform,System Design/Implementation/ERP/CRM,"Banking, Financial Services, Broking"
 Assistant Store Keeper,Logistics,"Automobile, Auto Anciliary, Auto Components"
Level 2 Support SME – Market risk,System Design/Implementation/ERP/CRM,IT-Software / Software Services
 Procurement & Marketing Manager,Logistics,"Agriculture, Dairy"
,,
 Pulmonologist For 300 Bed Advanced Super Speciality Hospital @ Gurgaon,Medical Professional,"Medical, Healthcare, Hospitals"
 Data Engineer: Enterprise Content Management,Programming & Design,"IT-Software, Software Services"
 Trainer,Voice,"IT-Software, Software Services"
 Manager / General Manager Business Development,Senior Management,"Pharma, Biotech, Clinical Research"
 PHP Developer,Programming & Design,"IT-Software, Software Services"
 Node.js Developer (onsite Opportunity),Programming & Design,"IT-Software, Software Services"
 Sales Officer,Retail Sales,"Banking, Financial Services, Broking"
 Executive Assistant To Director,Corporate Planning/Consulting/Strategy,"Export, Import"
 AM-HoReCa Sales || Leading cosmetic brand based out in South Delhi,Institutional Sales,"Wellness , Fitness , Sports, Beauty"
 PHP Developer,Programming & Design,"Recruitment, Staffing"
"Consultant -regulatory Specialist, CMC Renewals (contract Role)","GlaxoSmithKline is one of the world's leading pharmaceutical and healthcare companies, with statisticians and programmers working at UK and US R&D sites, and worldwide. In recognition of the developing sophistication and technical requirements of the programming role, the Clinical Programming department was formed as a standalone department within the broader Clinical Statistics group 18 months ago, covering all phases of clinical drug development and commercialization in a wide range of therapeutic areas. In addition to the group's activities supporting GSK's pipeline of drugs, key accountabilities include driving CDISC implementation for the reporting of clinical trials, and identifying and implementing technology solutions to offer further benefit and efficiency for the group's activities.",Pharma / Biotech / Clinical Research
,,
 Support Consultant,System Design/Implementation/ERP/CRM,"BPO, Call Centre, ITeS"
Cognizant is Hiring For Tibco BW Developer,Programming & Design,IT-Software / Software Services
 Security Specialist,Admin/Maintenance/Security/Datawarehousing,"Education, Teaching, Training"
 Full Stack Developer,Programming & Design,"Education, Teaching, Training"
 Sales & Marketing Head,Retail Sales,"IT-Software, Software Services"
 Cocoa Developer,Programming & Design,"IT-Software, Software Services"
 MIS Executive,,Other
 Verification Engineering Lead Analyst,Programming & Design,"Telcom, ISP"
 Content Writers,Content Development,"Internet, Ecommerce"
 Office Coordinator (F),,"Recruitment, Staffing"
 Sales/Marketing (B2B and B2C),Corporate Sales,"IT-Software, Software Services"
 CRM Analyst,Programming & Design,"IT-Software, Software Services"
 Hiring for Tech Sales_inbound Process Job (salary On-time),Voice,"IT-Software, Software Services"
 Core Java Developer,Programming & Design,"Media, Entertainment, Internet"
Finastra Fusion Loan IQ – Business and Integration Architect,System Design/Implementation/ERP/CRM,IT-Software / Software Services
 SAP ABAP Webdynpro Consultant,Programming & Design,"IT-Software, Software Services"
 Manager Credit Control,Finance/Audit,"Automobile, Auto Anciliary, Auto Components"
 QA Engineer,Programming & Design,"IT-Software, Software Services"
 Web Designer (Front End Developer),Creative,"Banking, Financial Services, Broking"
 Test Designer,Programming & Design,"IT-Software, Software Services"
 Jr. Magneto Developer,Programming & Design,"Internet, Ecommerce"
 National Sales Head,Senior Management,"IT-Software, Software Services"
 Job Opportunity for MSBI Devoper -pune & Mumbai,Programming & Design,"IT-Software, Software Services"
 Manager / Sr Manager Procurement,Purchase/Material Management,"Pharma, Biotech, Clinical Research"
" Bulk Hiring Technical Sales Executive-noida, Delhi & Gurgaon",Voice,"BPO, Call Centre, ITeS"
 Software Engineer / Sr. Software Engineer (.Net),Programming & Design,"IT-Software, Software Services"
 Walk n Interview! Airtel Process/ Day Shifts (9am - 6pm) Inbound/ Cabs,Voice,"BPO, Call Centre, ITeS"
 Senior Practitioner - Finance and Administration Delivery,Accounts,"IT-Software, Software Services"
 Insurance Head,Life Insurance/Financial Services,"Banking, Financial Services, Broking"
 Associate Vice President/ Vice President - IT Project Manager,Project Management,"Banking, Financial Services, Broking"
 Housekeeping Supervisor,,Facility Management
 Senior Engineer,Programming & Design,"Semiconductors, Electronics"
" Marketing Executive, ",Marketing,"IT-Software, Software Services"
 Sr CCE in Inbound Tech Support Voice Process ( UK/US Shift),Voice,"IT-Software, Software Services"
 Sales Executive,Retail Sales,"Automobile, Auto Anciliary, Auto Components"
 Account Assistant,Accounts,"Strategy, Management Consulting Firms"
Job Opportunity || UI Developer with Reactjs || Globallogic || Noida,Programming & Design,IT-Software / Software Services
 Senior Analyst,Programming & Design,"Recruitment, Staffing"
 SMBC : Officer / Senior Officer - Legal & Compliance,,"Banking, Financial Services, Broking"
 Part time Teacher For Pune ( Only Women ),Teachers,Other
" Senior Magento Developer,",Programming & Design,"IT-Software, Software Services"
 Urgent Opening For Partner Acquisition Coordinator,After Sales Service,"Internet, Ecommerce"
 Big-4(global) | Am/manager-usgaap/ukgaap/ifrs | Ca/acca/cpa(qualified),Accounts,"Strategy, Management Consulting Firms"
 State Head - Sales - Automobile Accessories,Senior Management,"Automobile, Auto Anciliary, Auto Components"
 Senior Accountant,Accounts,"Accounting, Finance"
 ADAS Software Developer,Programming & Design,"Automobile, Auto Anciliary, Auto Components"
 Senior Accountant,Accounts,"Construction, Engineering, Cement, Metals"
 Net Developer -tech Lead(5yrs-6 Yrs) | Hyderabad,Programming & Design,"IT-Software, Software Services"
 Job Opening For Executive Secretary For Plastic Industry,Senior Management,"Chemicals, PetroChemical, Plastic, Rubber"
 SAP EWM Consultant - QM WM Modules,System Design/Implementation/ERP/CRM,"IT-Software, Software Services"
 Senior Developer,Programming & Design,"Education, Teaching, Training"
 Inside Sales Representative,Retail Sales,"IT-Software, Software Services"
 Software Engineer / Senior Software Engineer,System Design/Implementation/ERP/CRM,"IT-Software, Software Services"
 Nodejs Developer (fullstack Developer) Position in Bangalore,Programming & Design,"IT-Software, Software Services"
 Delivery Analyst (US Taxation),Voice,"IT-Software, Software Services"
 dot Net Developer,Programming & Design,"IT-Software, Software Services"
 Mega Drive for Day Shift ( Maruti Process ),Voice,"BPO, Call Centre, ITeS"
 Service Engineer For Ahmedabad Location For Diemme Filtration Scope,Production/Manufacturing/Maintenance,"Water Treatment, Waste Management"
 IT Recruiter || Bangalore-trinity || Immediate Start,Programming & Design,"IT-Software, Software Services"
" Urgent Hiring| PAM - Corporate Salary For Leading Bank| Noida,gurgaon",Retail Sales,"Banking, Financial Services, Broking"
 Mobile Game Developer - Android & iOS,Programming & Design,"BPO, Call Centre, ITeS"
" SAP Fiori Application Opening in Reliance Jio Infoccom, Navi Mumbai",Production/Manufacturing/Maintenance,"Telcom, ISP"
" Java,Angular/React Software Developers",Programming & Design,"IT-Software, Software Services"
 Administrator Storage Infrastructure,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
 SME - SAP Basis,Admin/Maintenance/Security/Datawarehousing,"Recruitment, Staffing"
 Executive Accounts Receivable with a Top Multiplex Chain in Gurgaon,Accounts,"Travel , Hotels , Restaurants , Airlines , Railways"
 Academic Counsellor,,"Education, Teaching, Training"
 Telecallers required for Inbound Tech Support/Sales-US Shift,Voice,"IT-Software, Software Services"
 Urgent Requirement Female HR Coordinator for Punjabi Bagh Delhi,HR/ Recruitment / IR,"FMCG, Foods, Beverage"
 Requirement for Marketing Communications and Brand Building.,Marketing,"Real Estate, Property"
 Retail Sales Consultant - Beauty Adviser - Cosmetics,After Sales Service,"Retail, Wholesale"
 Area Sales Manager,Channel Sales,"FMCG, Foods, Beverage"
 Mobile Application Developer,Programming & Design,"IT-Software, Software Services"
 Head Business HR,HR/ Recruitment / IR,"BPO, Call Centre, ITeS"
" LdAnlyst, External Reporting",Finance/Audit,"Banking, Financial Services, Broking"
 sapbtc/newgl,,"IT-Software, Software Services"
 Consultant,Operations,"IT-Software, Software Services"
 BPO Recruiter | Work From Home/ Commission Based--,HR/ Recruitment / IR,"BPO, Call Centre, ITeS"
 Helpdesk Coordinator,Technical Support,IT-Hardware & Networking
 Mobility Developer - React Native - US MNC at Bangalore,Programming & Design,"IT-Software, Software Services"
 Team Lead / Project Lead,Programming & Design,"IT-Software, Software Services"
 Android Developer | Disruptive B2B F&B Startup | Noida,Programming & Design,"Internet, Ecommerce"
 Manager - Corporate Sales - Employee Benefits Solutions,Corporate Sales,"IT-Software, Software Services"
 Urgent Requirement US IT Recruiter Mumbai,HR/ Recruitment / IR,"IT-Software, Software Services"
 Enterprise Architect,Programming & Design,"IT-Software, Software Services"
 Magento Developer,Programming & Design,"IT-Software, Software Services"
 Direct Sales & Marketing,Retail Sales,Insurance
" Specialist , TM NCB",Programming & Design,"Education, Teaching, Training"
 Engineer/senior Engineer-engineering & Maintenance,Site Engineering,"Medical, Healthcare, Hospitals"
 Zonal Sales Manager - Pharma - Respiratory Segment- Delhi HQ -,Channel Sales,"Pharma, Biotech, Clinical Research"
 Accountant,Accounts,"Industrial Products, Heavy Machinery"
 Staff DFT Engineer,Programming & Design,"IT-Software, Software Services"
Sr. Analyst – Tableau Visualization,"Accenture (NYSE: ACN) is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions underpinned by the worlds largest delivery network- Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With approximately 477,000 people serving clients in more than 120 countries, Accenture drives innovation to improve the way the world works and lives. IMPORTANT NOTICE We have been alerted to the existence of fraudulent messages asking job seekers to set up payment to cover various costs associated with establishing employment at Accenture. No one is ever required to pay for employment at Accenture. If you are contacted by someone asking for payment, please do not respond, and contact us at india.fc.check@accenture.com immediately.",Other
 Assistant Manager Plastic Machinery Sales,Retail Sales,"Construction, Engineering, Cement, Metals"
 Marketing Executive,Marketing,"Chemicals, PetroChemical, Plastic, Rubber"
 Urgent Requirement For Marketing Executive,,Other
 Accessories Manager,Corporate Sales,"Automobile, Auto Anciliary, Auto Components"
" Android Developer - Kotlin, For Pune and Kolakata - Immediate Joiners",Programming & Design,"IT-Software, Software Services"
 Executive Finance-payable,Accounts,"Heat Ventilation, Air Conditioning"
" Opening For Software Testing Experience @ FC Road, Pune",Programming & Design,"IT-Software, Software Services"
 AVP - Alliances & Business Development - Fintech Firm,Senior Management,"Accounting, Finance"
 Area Manager - Rural Term Loan/Senior Area Manager - Rural Term Loan,General Insurance,"Banking, Financial Services, Broking"
 FP & A Manager,Finance/Audit,"IT-Software, Software Services"
 Product QA Engineer ( Automation + Manual Tester),Programming & Design,"IT-Software, Software Services"
 Site Merchandiser - Intern only for MBA Campus Hires,Programming & Design,"IT-Software, Software Services"
 Program Guide,University Level,"IT-Software, Software Services"
 Hiring for Compliance Executive- on Contract @ Flipkart,,Legal
 Android Developer,Programming & Design,"IT-Software, Software Services"
 Recruitment Event : Statistical Programmer - Pune & Chennai,,"Pharma, Biotech, Clinical Research"
 Data Scientist - NLP Systems - BFSI,Programming & Design,"IT-Software, Software Services"
Manager Corporate Legal 1,Other,Iron and Steel
 HR Operations,HR/ Recruitment / IR,"Recruitment, Staffing"
 HR Intern,Other,"Internet, Ecommerce"
 Project Manager Construction,Site Engineering,"Recruitment, Staffing"
 Embeded C with Instrument Cluster @ Top MNC Company at Bangalore Locat,Programming & Design,"Automobile, Auto Anciliary, Auto Components"
 Required Executive / Senior Executive - HR ( Male),HR/ Recruitment / IR,"Automobile, Auto Anciliary, Auto Components"
 SAP Material Management,Programming & Design,"Recruitment, Staffing"
 Sgm/dgm - Accounts & Finance - Real Estate,Senior Management,"Real Estate, Property"
" Urgent Opening for"" AD Optimizer",,"Advertising, PR, MR, Event Management"
 Client Relationship Partner,Retail/Personal Banking,"Banking, Financial Services, Broking"
" Manager(Logistics) - Corporate Office, Hyderabad",Logistics,"Water Treatment, Waste Management"
 Design Expert,R&D,"Architecture, Interior Design"
 Counselling Associates,Back Office/Web/Transaction Processing,"Education, Teaching, Training"
 Associate Consultant /Consultant- Information Security,Other,"Recruitment, Staffing"
 Practice Head - Software Services and Testing,Senior Management,"IT-Software, Software Services"
 BPO - International Voice - Day Shifts - Noida - 2.6lpa - Call Kanchan,Voice,"BPO, Call Centre, ITeS"
 Required Senior Piping Draughtsman,Engineering Design,"Construction, Engineering, Cement, Metals"
 Product Engineer,Programming & Design,"Oil and Gas, Energy, Power, Infrastructure"
 dot NET Tech Lead,Programming & Design,"IT-Software, Software Services"
Senior Middle-ware Test(manual) Engineers,Programming & Design,IT-Software / Software Services
 Principal SWE Lead,Programming & Design,"IT-Software, Software Services"
 Store Manager - Sportswear Brand,Retail Sales,"Retail, Wholesale"
 .Net Developer - Asp/c#,Programming & Design,"IT-Software, Software Services"
 Sales Associate,Retail Sales,"Industrial Products, Heavy Machinery"
" Medical Science Liaison , GI",Medical Professional,"Pharma, Biotech, Clinical Research"
 Hiring for Branch Head for Leading Education Industry,Retail Sales,"Education, Teaching, Training"
 Consultant-Internal Audit-Technology Divison,Finance/Audit,"Recruitment, Staffing"
 Voice Call,Programming & Design,"IT-Software, Software Services"
 Merchandiser Sales,Retail Sales,"Recruitment, Staffing"
 Article Clerk,Accounts,"Accounting, Finance"
 Looking for a Claims Executive / Sr Claims Executive -commercial Lines,Voice,Insurance
 Digital Marketing Analyst,Online/Digital Marketing,"Internet, Ecommerce"
 Senior Executive - Talent Management,HR/ Recruitment / IR,"IT-Software, Software Services"
 Relationship Manager - Direct Sales - Life Insurance,Life Insurance/Financial Services,Insurance
 Travel Sales Consultant/ Sr. Sales Consultant - Voice International,Voice,"BPO, Call Centre, ITeS"
" Research , web Analytics",Marketing Research,"IT-Software, Software Services"
" Service desk Analyst with Voice Process,mnc,bangalore",Programming & Design,"IT-Software, Software Services"
 Seller Relationship Manager,Treasury,"Internet, Ecommerce"
 Electrical Design Engineer,Engineering Design,"Electricals, Switchgears"
 Land scape Architecture- Associate Professor,University Level,"Education, Teaching, Training"
 Inbound Tech Bpo Hiring For US Shift,Voice,"IT-Software, Software Services"
Sr Research Analyst | Oil Markets Downstream Insight | IHS Markit,Analytics & BI,IT-Software / Software Services
 Cloud Consultant / Architect,Programming & Design,"Recruitment, Staffing"
 Business Development Executives,Programming & Design,"IT-Software, Software Services"
 Senior Graphic Designer - Branding / Designing Company -,Creative,"Recruitment, Staffing"
 Applications Developer - iOS and Android,Programming & Design,Publishing
 CA / CWA - Management Accounting With Top Based UK Company,Accounts,"Banking, Financial Services, Broking"
 Bigdata Architect,Programming & Design,"IT-Software, Software Services"
Opening For Mobilityarchitect - Mumbai Location,Programming & Design,IT-Software / Software Services
 Urgent Opening in General Mills For Analyst Role.,Analytics & BI,"Accounting, Finance"
 Business Development Manager,Retail Sales,"Advertising, PR, MR, Event Management"
 Production Supervisor,Production/Manufacturing/Maintenance,"Consumer Electronics, Appliances, Durables"
" Junior UI Developer for Bangalore Location,immediate Joiner only",Programming & Design,"IT-Software, Software Services"
 Openings For Windows Admin_hinduja Tech_chennai(contract To Hire),Programming & Design,"IT-Software, Software Services"
UI Developer,Programming & Design,IT-Software / Software Services
,,
 Opportunity for Account Manager-sales in Quest Coworks Pvt Ltd,Retail Sales,"Real Estate, Property"
 Permanent Opening For Frontend Developers in Bangalore and Hyderabad,Programming & Design,"IT-Software, Software Services"
 Senior Business Analyst,System Design/Implementation/ERP/CRM,Insurance
 ASP.Net Developer,Programming & Design,"Recruitment, Staffing"
 Regional Sales Manager,Retail Sales,IT-Hardware & Networking
 ITS Business Partner - APAC Sales,Senior Management,"Advertising, PR, MR, Event Management"
 MIS Coordinator,Analytics & BI,"Retail, Wholesale"
 Resident Sales Executives / Sr. Sales Executives,Retail Sales,"Industrial Products, Heavy Machinery"
 Great Opportunity For Market Research Executive at Multiple Locations,Sales Support,IT-Hardware & Networking
" Software Engineer (java, Javascript), 2-4 Years, Bangalore",Programming & Design,"IT-Software, Software Services"
 Content Writer,Content Development,"IT-Software, Software Services"
 Fitness Consultant,Health & Fitness,"Wellness , Fitness , Sports, Beauty"
 Sales Executives,Retail Sales,"Internet, Ecommerce"
 Trainee Seaman & Wiper,Shipping,"Shipping, Marine"
 Associate - Finance,Voice,"Travel , Hotels , Restaurants , Airlines , Railways"
 Apigee Development ( Exp-6 - 10 Years ) Hyderabad Location,Programming & Design,"IT-Software, Software Services"
 Business Development Executive,Corporate Sales,IT-Hardware & Networking
React.js Developer Opening with Harman,Programming & Design,IT-Software / Software Services
 Email Support Executive,Back Office/Web/Transaction Processing,"BPO, Call Centre, ITeS"
 Urgent Openings For Hr Executive @ Choolai,HR/ Recruitment / IR,"Recruitment, Staffing"
" Software Development Engineering, Professional",Programming & Design,"IT-Software, Software Services"
 Design Engineer,R&D,"Semiconductors, Electronics"
 TELESALES MANAGER,HR/ Recruitment / IR,"Advertising, PR, MR, Event Management"
 Fantastic job Opportunity for Oracle Cloud HCM Ban & Pune 4-9yrs (c2h),Programming & Design,"IT-Software, Software Services"
 Account Manager - Ad Sales,Corporate Sales,"Recruitment, Staffing"
 Product Support Specialist,,"Medical, Healthcare, Hospitals"
GM Procurement Operations & Contract Management – IT,Senior Management,IT-Software / Software Services
 App Developer,Programming & Design,"KPO, Research, Analytics"
 Accounts &amp; Finance Manager with Zoho Books Experience,Accounts,"Oil and Gas, Energy, Power, Infrastructure"
 Sr.Web Designer Graphics Designing,Creative,"IT-Software, Software Services"
 Non IT Recruiter --- Bangalore,HR/ Recruitment / IR,"IT-Software, Software Services"
 PHP Developer / Senior PHP Developer,Programming & Design,"IT-Software, Software Services"
 Assistant Manager - HR,HR/ Recruitment / IR,"BPO, Call Centre, ITeS"
 Asst. Manager Sales - Gurgaon,Retail Sales,"Automobile, Auto Anciliary, Auto Components"
 Area Sales Manager,Retail Sales,"Banking, Financial Services, Broking"
 Urgent Opening for Position of Deputy Manager in Leading Insurance c .,Life Insurance/Financial Services,Insurance
,,
 Accounts Executive ,Accounts,"IT-Software, Software Services"
 Scientist : MLE Specialist,R&D,"Agriculture, Dairy"
Excellent Oppurtunities with Mphasis,Programming & Design,IT-Software / Software Services
 Acounting Clerk,Finance/Audit,"Banking, Financial Services, Broking"
 Business Analyst,System Design/Implementation/ERP/CRM,"IT-Software, Software Services"
 Senior Software Engineer,Programming & Design,"IT-Software, Software Services"
 Enovia,Programming & Design,"IT-Software, Software Services"
 Technical Coordinator,Project Management,"Recruitment, Staffing"
 Trade Marketing Manager,Marketing,"FMCG, Foods, Beverage"
 Resource Manager / Analyst,HR/ Recruitment / IR,"IT-Software, Software Services"
 Legal Advocate,,"Real Estate, Property"
 Business Development,Corporate Sales,"IT-Software, Software Services"
 Staff Nurse,Medical Professional,"Medical, Healthcare, Hospitals"
 Senior Accounts Executive and Team Leader-accounts,Accounts,"IT-Software, Software Services"
 Dot Net Professional,Programming & Design,"IT-Software, Software Services"
" Consultant Neurologist,",Medical Professional,"Medical, Healthcare, Hospitals"
 IT Technical Support,Programming & Design,"Education, Teaching, Training"
 Manager/senior Manager - Planning & Procurement - Healthcare,Purchase/Material Management,"Accounting, Finance"
 Associate/store Supervisor - Retail Sales - Sports Brand,Retail Sales,"Retail, Wholesale"
 Walkin - Procurement For Elevator Industry(good Communication is Must),Back Office/Web/Transaction Processing,"BPO, Call Centre, ITeS"
Oracle DB Administrator,Admin/Maintenance/Security/Datawarehousing,IT-Software / Software Services
 Showroom Sales Girl/outdoor Designing Products,Retail Sales,"Retail, Wholesale"
 Senior Relationship Manager - Direct Marketing - CTC 3 To 7 Lacs,Corporate Sales,"Banking, Financial Services, Broking"
,,
 Client Servicing Representative,Sales Support,"BPO, Call Centre, ITeS"
 Back End Developer,Programming & Design,"IT-Software, Software Services"
 ASA,,Other
 Customer Service Executive - Travel Inbound Process,Voice,"BPO, Call Centre, ITeS"
 Senior Lotus Notes and Java Developer,Programming & Design,"Strategy, Management Consulting Firms"
 Media & PR Trainee...,Other,IT-Hardware & Networking
 WEB DEVELOPER - PHP,Programming & Design,"IT-Software, Software Services"
 Knowledge Manager,Content Development,"Education, Teaching, Training"
 Retail Training Executive,Retail Sales,"Retail, Wholesale"
 Sr. CCE (Customer care Executive),Voice,"IT-Software, Software Services"
 SR. MARCHANT,,"Export, Import"
 Director- P&L- Consumer Finance- Iim/iit/mdi/isb/xlri/fms/nmims,,"IT-Software, Software Services"
" Urgent Opening For VP- Finance (qsr- Industry), Gurgaon Location",Senior Management,"Travel , Hotels , Restaurants , Airlines , Railways"
 Creative Director,Senior Management,"Advertising, PR, MR, Event Management"
 Urgent Requirement for _ HRBP Profile @ Bangalore MNC,Programming & Design,"IT-Software, Software Services"
 Relationship Manager - Wealth Product - BFS,Channel Sales,"Banking, Financial Services, Broking"
 BI Architect,Programming & Design,"Recruitment, Staffing"
