Customer Service Executive,FreeUp App,Remote,"Regular / Permanent
+1",https://in.indeed.com/company/FreeUp-App/jobs/Customer-Service-Executive-803b098f06193b6b?fccid=98cae3f18179a758&vjs=3
Events Executive,Buzz Events,"Panaji, Goa",Full-time,https://in.indeed.com/company/Buzz-Events/jobs/Event-Executive-fb8e23e2fff96f03?fccid=db8fe93cd4a3daf8&vjs=3
Chat Support,Grayquest Finance Ltd,"Remote in Mumbai, Maharashtra",Contractual / Temporary,https://in.indeed.com/company/Grayquest-Finance-Ltd/jobs/Chat-Support-3327d1f381daccc3?fccid=203d55dcb76af130&vjs=3
Translator,GIGL Summaries,Remote,"Regular / Permanent
+3",https://in.indeed.com/company/GIGL-Summaries/jobs/Translator-f25c7d59b2b28138?fccid=c4194d180f1ffb96&vjs=3
IT Recruiter,Anunta Technology Management Services,"Remote in Teynampet, Chennai, Tamil Nadu",Contractual / Temporary,https://in.indeed.com/company/Anunta-Technology-Management-Services/jobs/IT-Recruiter-99ad1e1c915af3e4?fccid=2f328260e3bd4f59&vjs=3
IT Sales Executive,Coboticx Technology,"Kochi, Kerala",Full-time,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CXPcjMtIF0zdJBegBVRb6w02gllvrlPQYGd30ytMrk3_PNmzYNDpDJyYV5Fr2LUBU1VOUVIJSp_U16Jvtv0XbYS6PcVi-NRNlnhhI1Nj4dHNDJmPPKf-smbd5x4E_qQOi8J8DB5gbVkVFP9d0gD7O_lbVHLVQSiL7lGH2O-yBuHfg92lKX1Z5LF7xljLl0kkjlj6Iixa_6WKR0vdFadWdPiJqvtaL1b_QXXO7xYe93Hx7IlQi05qbjtKDC4RW9bSFPbsy4V5ONj3wzYonhhnDiopxJytybpTQRHQXRaS1aMcfPVHJzfZvE5-eea2xUK6o-GNBwKO_SFz-WtGHH-vKZh0nM3iv0cteNz1jgWfE7R_nSGo3LCcboeuKKoq9tERQ60fnWmCl8ORy1d9-KXNyDfRrSN9oyNFJF9hj4kk3rAWkgiDWZiXV7vR3Nv4Xsf7JriF-fPPf86Dj2IYLPMLoU2hGk9yyOma0RC7rim0Ih7IL-AFXjbg_w&xkcb=SoDH-_M3TgoGRXwHCx0LbzkdCdPP&p=0&fvj=1&vjs=3
TGT Social Science required urgently,RIDGE SCHOOL,"Kurnool, Andhra Pradesh","Regular / Permanent
+1",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DXV4Nfo92DJVin8QCu5Ima3tsTBLHo5hP7Ir7NFhzGo-2sNOoQgCWQqwV7sdDng5oq3mE4hGuL1G3F8eNFFqxwNTP9lX1ZfRgWT662MJ8q3DnjKmGXRmi29hxawU1BYWQYMee-pxwCQbQcOpdUUfHSQchqSOr0eRUxZ-rAptcCJFllmn-hDc2TgLvWQX4qi7LRRSoksaah4GuM1ZWdN_e-KFQxLLY0df0DspQ6SfDrClbHm_GDZTBakD8AeqGyRuKYmYyCu-naSlSpfJ_I2QyNfiaJNoxOcB7rb-mva9zQfdkkhCltk157bV9D6eOfLbGr7PUCYU_K7OTznAbsqXQznltuhMS9LOP--NmaIc6rezDq-WenHPkh3Wrq4Rm2AFsZrqwhP28tsUL8BW6EYZkGvwkbmF5Tg5-H1CpuLJbU2QIue2tT4NFhe7Wcj24RNzoKWJQ6LZvYJsOx0wHCOtZ8v3hHG4B4u08VxkNdxFTTmRlnhZDbzbelJeivO05RvwpEpRqzhPY8V-__puDvatF1&xkcb=SoBz-_M3TgoGRXwHCx0KbzkdCdPP&p=1&fvj=1&vjs=3
Accounts Executive,Uniabroad,"Remote in Bengaluru, Karnataka",Full-time,https://in.indeed.com/company/UNIABROAD/jobs/Account-Executive-5962bb09c25b5817?fccid=e91d3b1648e4cdb8&vjs=3
Chat process,The Career Next,"Pune, Maharashtra","Regular / Permanent
+2",https://in.indeed.com/company/The-Career-Next/jobs/Chat-Process-14708d52a57f7eb6?fccid=58b3ec58445ea55e&vjs=3
Sales Associate,VDS,"Ernakulam, Kerala",Full-time,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C4mLmsKnh0nXij4Dn_HF4Cc0Ujpb7nQQ1HUs1inBFVRHwbn4qp6kdU6ChhE0beIrGn-GMow2ItaYfhxkJbKj32waRwV7SvclVNLlxz-6F3NbkE3_WdY1iTqKLmzh0aVLj5Ew7mJYHTOgV6z7jr1wB35bfRoplzCIprYRjdqDVZj-9LMXIBgmPVSqAfYdEo5C1u99et2UzhNQGNuAHZI8l7mKsFSkV8T6-7Oh3HfmtqBzDbvPnFJfZwD6RLBSad0zPFVbANb2dUW7GDYuDOlFpKg5H3MsKB1-7T22JjGZnnOHFaWaJsnUIbdsnjreK1yXaDrYCDKRShpMoe0l0z8JuaQldzshjjGA2pBXBBew83wLzryz-QEdp8jKH5LiEzKa6OstNdyvK3GYqAtzdHfRF5-Hgymhui-dFL0f47HZfqAqclYTuQQa3R8L6MfYrBw76Rv2ok_sG-wr9hdx9aTCmYJdqsLCK-XiHFDfNKG4vJ0I-wIcxvVAhw&xkcb=SoDU-_M3TgoGRXwHCx0PbzkdCdPP&p=4&fvj=1&vjs=3
Pharmacovigilance Associate,Refined Reports Data,"Remote in Pune, Maharashtra",Full-time,https://in.indeed.com/company/Refined-Reports-Data/jobs/Pharmacovigilance-Associate-413a83709a393b6b?fccid=9aae79e3147ec5cc&vjs=3
English Teacher,Birla Open Minds International School Rosera,"Rusera, Bihar",Regular / Permanent,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AkacIHrtgHb-PtskEZ-FkzbJ8QUM_dHPlPTqptfpTfDo00CeHsHnk_yjt85QYcJ4csrYaiQc3ZLMz-oXowUx08Hom9PXdGu2EArBXc99Ib_uRKV852BDb6TBwGfP1Hl9NYbrDKGaJzUTu1EedGjNZM_ALkFI8RnbMRt93_6JwvCj48aXJv-Iwp5QBlVi4uUnBh1so6dJj9-IiK4z5SlTV2bel93Iju1bNCaqDxxb6NO9ZvyDGt4Oyx3pgtJspr0AYBkrjBNRTrlKhSjwyJ1jiLlthpczYTB3B6Mcbo0kVU5kwOb9R3b7ViohHizVD8k50ZWJOpYimThgIP5y-mGTfc7CjjcNKlDQQvb-QxO_1HECe0xgbpLzlVGz23p7aQa8mL4RocAdSbKLQ6S9LNvwjojO96oGIM5Ujlsoa43fe5QJ4-a38XcBd5yB9nnPFErPswuBe9V0quBStLF1NX-nXUIg30NCqBV7Dv-6091JmYBMNpK2rQzDEC&xkcb=SoD9-_M3TgoGRWQHCx0KbzkdCdPP&p=6&fvj=1&vjs=3
Maths and English online Tutor,shree rsc tutors,"Remote in Mumbai, Maharashtra","Regular / Permanent
+2",https://in.indeed.com/company/Shree-RSC-Tutors/jobs/Math-English-Online-Tutor-3a3c43e4abe7eda3?fccid=9b8994897a734149&vjs=3
Work From Home Opportunity,Raghu Enterprises,"Remote in Bhimavaram, Andhra Pradesh","Regular / Permanent
+1",https://in.indeed.com/company/Raghu-Enterprises/jobs/Opportunity-198a5abf83a6f931?fccid=ef680ad0cddf6025&vjs=3
Destination expert,Uniabroad,"Remote in Bengaluru, Karnataka",Full-time,https://in.indeed.com/company/UNIABROAD/jobs/Destination-Expert-f0ce951705053b1e?fccid=e91d3b1648e4cdb8&vjs=3
Fresher(Sales Intern),Functionup,"Remote in Bengaluru, Karnataka","Fresher
+1",https://in.indeed.com/company/FunctionUp/jobs/Fresher-1ead0690e2b0e8a9?fccid=d6940ea25e9d3130&vjs=3
Hungarian content writer required,Great Ponton,"Mumbai, Maharashtra",Day shift,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CIZVXyRdPSIs-2aih4R-AACdw4VZoBxN-hS0gQI87xMfNnsshIn71PywhfIqYD4Ba0hZMXAmeSUd02gsbRyEAPYJ2zVYVI4-HkWgdr6eSVdI07hrU9VTEhlwJU-WTSc45-fqBk-1eOfOAOD1-CkL6HA9GrSFsepB3nvZWg-02RUN9h3UbhSoDeJrcEwAnUc8OEHuZ9EDJVSmc8InLci4AiCNGoXooUYAYV3nBBFEU-4YfG0rr9Ar9_vKMIqGA3HEcSgOUUGYmpfwUWCBcg6xltp2oWNPxGyufSGLTOETxSfBCa9UYETiOLoG-RKiOhmAoShJe7jaOsgxNuSUUgSLOOvO7jE0Oi0jA_Vhs-6GqApLNGVTPWlsG-kYIymMMCuFHM_w5ALd3p6hT_j6EH6hZwzUwi-gp7itirpxOYQz3PhU_pL3ViDNhxZjD1RU-lnRRI0jNNHGGAzy3LLMfOX97C_DO2VKsXwb9W8B2BKpvM8ZpXD1boMkQI_xJba2Fr2BJNAHVySwW1K7mb0a3G8bLS&xkcb=SoAM-_M3TgoGRWwHCx0LbzkdCdPP&p=11&fvj=1&vjs=3
Visa counsellor,Kripa Overseas PVT LTD,"Ahmedabad, Gujarat","Regular / Permanent
+1",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BTQVCEnkh8_MGQm5sGh5Qhf5ZME86ZcKVt5XkGjgcHKJbVmjLumZ9nQw0TSa8yPuH7Im2JJ-mXuBMlnlqOKAXVyl4qPEKmINqKqbR3gJpKxWlBotoPDG6Id5c71pH92DBQzlY_YDHIE0iDV_KYyPs4Si_Uq2yRd8lAyF8g98LN7nSC8wGGxRyjXIfKE6YjqHcPAYCMlojvYuw0BSIc4lXMJ7tyOLiaiCLgNAsVWWz4A8fiYesDRZn1Ulufu2HssD-AohQxqR6YS2yR05eYZCsQhYDdG5RTRfSZqimYENnozisIDgsmMGSsXZhIOX_GKWBsqoW3BQNlSq74gsBjyPn_Xr_tK6TmBAhYUS9lmmg-V9WYk2vx15mYI7Ck7eCQDl_LInvs2aHdRJtxOWqrN_W3dM8phfRytakVSSjRS2VbDvOt0tuK-ZQu8Am4KJZ0gJ7Vbz-qD9TRYda-GJdjjlEandl_7M9p6nrNkpnvzUPx4b9h0yJMoDjX&xkcb=SoC4-_M3TgoGRWwHCx0KbzkdCdPP&p=12&fvj=1&vjs=3
Counter Sales Executive (Males),Murliwala Sweets Zirakpur,"Zirakpur, Punjab",Full-time,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DzeI1n84wAkXr7h7rS4gZc0zHAIgduedt4xzS4Aj_JG2FPM4g3cxmdr7-pq75lBhgQRd6OmEtkrU2VoDZrtCsE06IsN6-YT1CfQBn2LuMD101_3vSQyR3eih1eGJXPypJQLRY3Ks8trGWPJIpjf24OB6EWktmtQc80Y2hFV1eeNtKwR0GbuNCllghJahMMl33RgYtpGrBjXEkOCIomR92GDyU7qRWwi9h9Qn_NrTExfKXVPMteAuCWGZ6AMNXB4aswlPaIwjubAmNALXbppX8XPkeifitRCzs-eQvMouL-G3mnoDdVITDDQfJ1HWcwYT0yPFvzH7BMjhLjPHELKNLZt6ra4pEc438lHtGeodOGlEm7RxhrZrS7rREaB-7URmlxsr0feY7EtPqLvz1o9yAMzyWgCxMuES0R5xdbwuADWlR-KT085rVJcqWOII7S-T_W_ELRtCensUmMxIDQjTtSr4MwrzJGEboH2Jg83NyaEuPb-_9Z6jAmivEhbyfM8bjwy37l9f-cBw==&xkcb=SoAl-_M3TgoGRWwHCx0JbzkdCdPP&p=13&fvj=1&vjs=3
Diploma/ B.Sc./B.E in Electronics,Automation Combine,"Remote in Bengaluru, Karnataka","Regular / Permanent
+1",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cx6eMd6AMTevrxQVlSGNOYRtx-0F4AGPqupabHfJMwnql9f3RTSNvXsNekJpk0Wi_5_1YgmwY5GNonAlgiVRraoqtiLKBAHNSJrJQV8Qq1AdgDVOMbkNEDRPo8x9LmQdvyp9XTtJle8YTERE3zDonYqFO-jc9D-DnDsPYpyiZ-r9OMe4GG2lfDb_w8NglCmuHkYduyCYhXp9HRuHVlCNquVUYnq-oegd1lkYLHpVFfvkGCOokc4S7-UEBwTm0uwbmq5sGmVJoio7BZFHNCB2cpoXOiFRf42Bbdys0G6riKO-GFbyQKFNJzTKuXpyYFTi7q4I83TCstNb5HnUcw9JCp27Vtz5QeWb9eQXS02ew8jaOdbUpfE7DpslTmBklZ0EvXPgjHJ6mJciuMneaKzf1s7U1hviFBCZsXe-_C5eo1kT1DF8vJE5LgpvBJ5Xu7DA8d9lgOFGTOOzKPZPdRiloye8LrOn8uY_txOI5P2jMCgeZoGSp_0NF0GHYavimQR_o=&xkcb=SoCR-_M3TgoGRWwHCx0IbzkdCdPP&p=14&fvj=1&vjs=3
Data Entry Operator,Jocasta infotech,"Nagercoil, Tamil Nadu","Regular / Permanent
+6",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DXkviHXrsMcuwA2tO7eAVqSpcXLRzSxeHGhFc8buooxoGW-TwQsNM9PYRcqY9pY05i8AQvmsxLsErkgKi3C1N7lK103hVNohnL57Hnp43Hum5s1Ov0poizQVRGf1KDtYw4OtFgGT91-lF7uw0DNsNswH3iLbwZIMFoSb61F860bKNcUlRhWLqqE2jZ4RMWG7StNz18MzvfPcKp8JZV69LD_kWt_0D71mm3sncr2nR2-jd2RIgvp8HVR4LrXK3yPX1l2ukQOLyiRZIF-ozZCoZ337Tkryaa75O4cWXQjBhQG3s-HRNMuuxANICrQFRdSHQC5YzefBYOPU2TAdggpQxQiZ-ai__fAEfsePGRJ-HUssbMcwYe50g7Pv7kK0qvXCmvI2AC0vjDdwoawFt98HQHnGyoJ3Kt_Iuwg60CyqCwN5B0iolGwQSWKkxzNSLx4aOnuE3LPq7AuiwFGFeAkxz6N3I7WZvTrUwodw8FoAj9RNiphYIyIeFA&xkcb=SoDS-_M3TgoFmQwsVx0LbzkdCdPP&p=0&fvj=1&vjs=3
